,Brand Name,ID_Drug,Generic Name,Review,Rating,
1,Adderall,1,amphetamine and dextroamphetamine,"""Hi everyone. I am 25 years old married with a 6 month old son. I was diagnosed with severe ADHD at the age of about 10...I'm talking horrible behavior, bad grades, constant moving, etc. my mother told the doctors no medicine at that age. Then around 12 my mother caved in and gave me the adderall, I hated bc of the instant side effects for me. I continued to take it until about 14 and I made a 100% improvement. At 14 I learned to cope with the ADHD on my own. But now 11 years later in the real world with many stresses, my ADHD had gotten worse then ever, to the point that my wife wanted to leave me because she couldn't handle it. I got my prescription back and my life is amazing.. 30mg IR 3x a day 1 in a.m 1 after lunch 1 on way home from work.""",10,
2,Adderall,1,amphetamine and dextroamphetamine,"""I'm a 31yr old female, 5'4, 115lbs. I was 1st prescribed adderall in 2012, so I've taken it about 3 1/2 yrs. within that time there's ben a few situations that forced me 2 go with out meds for a week or more, which reminded me how much it helps! Without it I could sleep 18hrs for days & still be wanting 2 sleep an hr or so after getting up! I can sleep while taking it, but don't have the strong compulsion to. The first day taking it I've learned 2 only take half bc if not it feels like I'm on cocaine, even after just a week of not having it. But the 2nd day & thereafter is fine.I never experiencd any ""comedown"" like some ppl. The only negative is without it I get agitated easily & get on my own nerves when it comes 2 lack of concentration, forgetfulness,n sleeping 2 much.""",9,
3,Adderall,1,amphetamine and dextroamphetamine,"""This drug was prescribed to after ritilin didn't work well. This medication helped my ADHD but the side affects were unbearable. Cotton mouth, irritability, anxiety, panic attacks. I seemed like the cons outweighed the pros. Much more successful than ritilin but not enough. My doctor decided to try Vyvanse, a new version of adderall with less side effects and better outcomes for treatment plus no crash after dinner """,7,
4,Adderall,1,amphetamine and dextroamphetamine,"""My face breaks out in itchy blotchy spots and I never sleep""",7,
5,Adderall,1,amphetamine and dextroamphetamine,"""Adderall has improved my life drastically! So drastically that I had to come on here and write about it. Since I have ADHD, simple tasks can be very hard for me. I'm 19 and just started working at a store and before being on it I was having trouble following directions and a manager even told me I needed extra training. Anyway, I managed to do well enough to not be asked to leave. Now that I'm on it I think my managers are sort of shocked at how productive I am. So much that the store manager even came up to me and said the other managers have told her that I've improved so much and become a very hard worker. On my last 2 anatomy exams I got a B. I'm able to focus and do things without giving up so easily.""",10,
6,Adderall,1,amphetamine and dextroamphetamine,"""I was once a procrastinating, underemployed, muscular 18 year old who was unsure of his future. My ADHD made it impossible to focus, my motivation was terrible, and I snapped on anyone over the smallest thing. I knew about Ritalin...also knew its excess side effects. Heard about Adderall and decided maybe I should speak with my PCF. He prescribed me Adderal, a pill that can either make or break you. If you have had ANY history of drug abuse AVOID IT. It took me a month to realize I was abusing it. I lost sleep, weight, gained a tolerance. When I decided I'd better let my wife handle my medication, she gave me my two IRs per day and still does. It helped alot. The medication is wonderful for ADHD but can very easily kill you if you abuse it""",8,
7,Adderall,1,amphetamine and dextroamphetamine,"""I do not like taking medicine but had extreme anxiety and trouble paying attention before. I wish I took this before been a few days and more so much more focused. I haven't misplaced phone or car keys""",10,
8,Adderall,1,amphetamine and dextroamphetamine,"""I have been using Adderall for about 2 years now. I am an adult male at the age of 25. I always had an issue focusing in school and I have had a ""rocking"" issue my entire life. I tend to rock back and forth while reading or sitting about. It was very difficult to complete homework because I would try to figure out the answers to my homework problems but my rocking would take all of my focus and no matter how hard I tried to stop the rocking, I would always end up doing it anyway. As I attended college I was put on academic probation and decided to see a Doctor. Since I have been diagnosed and prescribed Adderall, my life has changed 100% for the better. No more rocking and my focus is incredible!""",10,
9,Adderall,1,amphetamine and dextroamphetamine,"""Good with increased mental focus and less distractions by activities that were going on around me. I have nothing negative to say about the Adderall. It has improved my ability to control my attention and give me greater intensity in thinking and reasoning.""",10,
10,Adderall,1,amphetamine and dextroamphetamine,"""Adderall has totally brought my life into focus. I started taking it about 6 months ago I'm 39 now and really wish I had this medicine as a kid. In addition to ADD I had severe anxiety and depression as a child/teenager. Adderall has given me focus, lifted my general mood, taken my anxiety away and made me a productive human being. I'm actually starting my own business! The only bad thing is that you really have to be careful of how much you take because it can have the opposite effect i.e. severe anxiety and no focus but if you take it the right way it will change your life! One other bad thing is the stigma surrounding the medicine and being treated like an addict by some pharmacists.""",9,
